"YEAR","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2010","RaMCONsw","fdm","RaMCONsw_fdm","D",1789.167775
"2010","RaMCONsw","fdm","RaMCONsw_fdm","E",70549.47627
"2010","RaMCONsw","fiw","RaMCONsw_fiw","A",27824.28324
"2010","RaMCONsw","fiw","RaMCONsw_fiw","B",603248.439055
"2010","RaMCONsw","fiw","RaMCONsw_fiw","C",132419.542875
"2010","RaMCONsw","fiw","RaMCONsw_fiw","D",20048.686855
"2010","RaMCONsw","fiw","RaMCONsw_fiw","E",427978.049975
"2010","RaMCONsw","fvw","RaMCONsw_fvw","A",10785.935105
"2010","RaMCONsw","fvw","RaMCONsw_fvw","B",63989.26856
"2010","RaMCONsw","fvw","RaMCONsw_fvw","C",6471.6945
"2010","RaMCONsw","fvw","RaMCONsw_fvw","D",955.186525
"2010","RaMCONsw","fvw","RaMCONsw_fvw","E",32246.83021
"2010","RaMEVG","ftd","RaMEVG_ftd","A",48308.19711
"2010","RaMEVG","ftd","RaMEVG_ftd","B",146605.230345
"2010","RaMEVG","ftd","RaMEVG_ftd","C",31135.967185
"2010","RaMEVG","ftd","RaMEVG_ftd","D",9916.14826
"2010","RaMEVG","ftd","RaMEVG_ftd","E",194503.331075
"2010","RaMEVG","fuc","RaMEVG_fuc","A",58815.91607
"2010","RaMEVG","fuc","RaMEVG_fuc","B",10725.888455
"2010","RaMEVG","fuc","RaMEVG_fuc","C",12530.846275
"2010","RaMEVG","fuc","RaMEVG_fuc","D",4812.6278
"2010","RaMEVG","fuc","RaMEVG_fuc","E",22022.88727
"2010","RaOAPI","fop","RaOAPI_fop","A",13655.720185
"2010","RaOAPI","fop","RaOAPI_fop","B",17612.34963
"2010","RaOAPI","fop","RaOAPI_fop","C",5141.32761
"2010","RaOAPI","fop","RaOAPI_fop","D",12964.071735
"2010","RaOAPI","fop","RaOAPI_fop","E",34703.627775
"2010","RaPICOpu","fld","RaPICOpu_fld","A",77852.260885
"2010","RaPICOpu","fld","RaPICOpu_fld","B",115153.46226
"2010","RaPICOpu","fld","RaPICOpu_fld","C",126309.68504
"2010","RaPICOpu","fld","RaPICOpu_fld","D",12766.584975
"2010","RaPICOpu","fld","RaPICOpu_fld","E",25251.395485
"2010","RaPICOpu","flp","RaPICOpu_flp","A",215.72315
"2010","RaPICOpu","flp","RaPICOpu_flp","B",18107.623295
"2010","RaPICOpu","flp","RaPICOpu_flp","C",1799.62034
"2010","RaPICOpu","flp","RaPICOpu_flp","D",31.802485
"2010","RaPICOpu","flp","RaPICOpu_flp","E",4760.14258
"2010","RaPICOpu","flw","RaPICOpu_flw","A",11100.62403
"2010","RaPICOpu","flw","RaPICOpu_flw","B",31131.29689
"2010","RaPICOpu","flw","RaPICOpu_flw","C",20424.979195
"2010","RaPICOpu","flw","RaPICOpu_flw","D",3858.55325
"2010","RaPICOpu","flw","RaPICOpu_flw","E",8839.31167
"2010","RaPIJEsp","fjp","RaPIJEsp_fjp","A",26716.533745
"2010","RaPIJEsp","fjp","RaPIJEsp_fjp","B",20690.74122
"2010","RaPIJEsp","fjp","RaPIJEsp_fjp","C",15838.304715
"2010","RaPIJEsp","fjp","RaPIJEsp_fjp","D",2018.45702
"2010","RaPIJEsp","fjp","RaPIJEsp_fjp","E",16533.066695
"2010","RaPIPOm","fdp","RaPIPOm_fdp","A",161490.127695
"2010","RaPIPOm","fdp","RaPIPOm_fdp","B",545954.594365
"2010","RaPIPOm","fdp","RaPIPOm_fdp","C",99521.984895
"2010","RaPIPOm","fdp","RaPIPOm_fdp","D",6792.165695
"2010","RaPIPOm","fdp","RaPIPOm_fdp","E",234964.987795
"2010","RaPIPOm","fpd","RaPIPOm_fpd","A",120710.890915
"2010","RaPIPOm","fpd","RaPIPOm_fpd","B",217564.802995
"2010","RaPIPOm","fpd","RaPIPOm_fpd","C",75337.64062
"2010","RaPIPOm","fpd","RaPIPOm_fpd","D",42649.356335
"2010","RaPIPOm","fpd","RaPIPOm_fpd","E",151854.41953
"2010","RaPIPOm","fpl","RaPIPOm_fpl","A",121704.32938
"2010","RaPIPOm","fpl","RaPIPOm_fpl","B",460809.11185
"2010","RaPIPOm","fpl","RaPIPOm_fpl","C",111558.447085
"2010","RaPIPOm","fpl","RaPIPOm_fpl","D",53941.90725
"2010","RaPIPOm","fpl","RaPIPOm_fpl","E",214755.954145
"2010","RaPIPOxe","fpd","RaPIPOxe_fpd","A",97313.82494
"2010","RaPIPOxe","fpd","RaPIPOxe_fpd","B",377407.650925
"2010","RaPIPOxe","fpd","RaPIPOxe_fpd","C",60521.463325
"2010","RaPIPOxe","fpd","RaPIPOxe_fpd","D",4257.97467
"2010","RaPIPOxe","fpd","RaPIPOxe_fpd","E",103643.18664
"2010","RaPIPOxe","fxp","RaPIPOxe_fxp","A",297761.55197
"2010","RaPIPOxe","fxp","RaPIPOxe_fxp","B",453466.296135
"2010","RaPIPOxe","fxp","RaPIPOxe_fxp","C",128752.694115
"2010","RaPIPOxe","fxp","RaPIPOxe_fxp","D",11168.6769
"2010","RaPIPOxe","fxp","RaPIPOxe_fxp","E",121783.94679
"2010","RaREFI","fcw","RaREFI_fcw","A",8537.076865
"2010","RaREFI","fcw","RaREFI_fcw","B",115858.45441
"2010","RaREFI","fcw","RaREFI_fcw","C",22385.168725
"2010","RaREFI","fcw","RaREFI_fcw","D",6365.83448
"2010","RaREFI","fcw","RaREFI_fcw","E",112693.77356
"2010","RaREFI","frf","RaREFI_frf","A",3965.74764
"2010","RaREFI","frf","RaREFI_frf","B",38616.6678
"2010","RaREFI","frf","RaREFI_frf","C",5776.04294
"2010","RaREFI","frf","RaREFI_frf","D",93.85069
"2010","RaREFI","frf","RaREFI_frf","E",8227.947815
"2010","RaREFI","frm","RaREFI_frm","A",1593.904965
"2010","RaREFI","frm","RaREFI_frm","B",36052.89824
"2010","RaREFI","frm","RaREFI_frm","C",1595.684125
"2010","RaREFI","frm","RaREFI_frm","D",275.992195
"2010","RaREFI","frm","RaREFI_frm","E",48696.05399
"2010","RaSAWD","fal","RaSAWD_fal","A",527671.056625
"2010","RaSAWD","fal","RaSAWD_fal","B",543840.2851
"2010","RaSAWD","fal","RaSAWD_fal","C",75250.684175
"2010","RaSAWD","fsw","RaSAWD_fsw","A",23524.49831
"2010","RaSAWD","fsw","RaSAWD_fsw","B",28030.888195
"2010","RaSAWD","fsw","RaSAWD_fsw","C",5767.369535
"2010","RaSPFI","fcd","RaSPFI_fcd","A",101196.174455
"2010","RaSPFI","fcd","RaSPFI_fcd","B",123466.14257
"2010","RaSPFI","fcd","RaSPFI_fcd","C",618738.91799
"2010","RaSPFI","fcd","RaSPFI_fcd","D",130795.39219
"2010","RaSPFI","fcd","RaSPFI_fcd","E",423651.132855
"2010","RaSPFI","fmz","RaSPFI_fmz","A",3309.904785
"2010","RaSPFI","fmz","RaSPFI_fmz","B",25897.675355
"2010","RaSPFI","fmz","RaSPFI_fmz","C",100712.02054
"2010","RaSPFI","fmz","RaSPFI_fmz","D",43073.4636
"2010","RaSPFI","fmz","RaSPFI_fmz","E",67812.461005
"2010","RaSSHE","fss","RaSSHE_fss","A",186506.67406
"2010","RaSSHE","fss","RaSSHE_fss","B",1153676.508845
"2010","RaSSHE","fss","RaSSHE_fss","D",73775.760535
"2010","RaSSHE","fss","RaSSHE_fss","E",439715.39089
"2010","RaTAOAco","ftm","RaTAOAco_ftm","A",39820.047145
"2010","RaTAOAco","ftm","RaTAOAco_ftm","B",216496.19502
"2010","RaTAOAco","ftm","RaTAOAco_ftm","C",36128.51254
"2010","RaTAOAco","ftm","RaTAOAco_ftm","D",22513.93543
"2010","RaTAOAco","ftm","RaTAOAco_ftm","E",271742.448945
"2010","RaTAOAco","fto","RaTAOAco_fto","A",5407.089635
"2010","RaTAOAco","fto","RaTAOAco_fto","B",7628.370895
"2010","RaTAOAco","fto","RaTAOAco_fto","C",2725.895515
"2010","RaTAOAco","fto","RaTAOAco_fto","D",4921.15656
"2010","RaTAOAco","fto","RaTAOAco_fto","E",6237.067775
