"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","ew1","ew2","sclass1","sclass2","STATE1","STATE2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",95.4325939837783,2910.88055051026,4,9917
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","eastside","eastside",NA,"A","Washington","Washington","Non-forest","Forest",551.627828959172,125910.358794789,4,5421
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",1103.73940462998,297192.023705129,8,4789
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",1769.09463061111,482702.337650675,17,5421
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",256.33950292252,36481.11959207,4,4789
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","eastside","eastside",NA,"E","Washington","Washington","Non-forest","Forest",369.110579167546,54670.6113140412,4,5421
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",173.344971187607,13619.8662517491,5,4789
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",200.081387298905,14792.2186049475,10,9917
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",16.7668320006476,133.412762431145,3,4789
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",348.828576379199,23605.0149567929,11,10139
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",3141.02222978995,1153037.50022329,46,9917
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",326.320764701727,58089.9489502056,5,5421
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","eastside","eastside",NA,"C","Oregon","Oregon","Non-forest","Forest",132.247505750175,8346.35518301615,2,9917
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",196.130280606525,8431.38171305737,9,5011
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","eastside","eastside",NA,"E","Washington","Washington","Non-forest","Forest",1.95048085918376,2.89951479263958,1,1955
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",161.354159478591,7256.03934023007,6,4789
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","eastside","eastside",NA,"A","Washington","Washington","Non-forest","Forest",209.02570452737,50675.141759516,1,3466
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",1601.59163945705,615250.677460334,17,9917
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",837.607130313015,99994.2089550582,15,5421
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","eastside","eastside",NA,"C","Oregon","Oregon","Non-forest","Forest",80.2199611246453,5242.54937230123,2,4789
