"YEAR","BpS_Code","BPS_LLID","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"Na0710411_fmt","Na0710411_fmt_WCR","E",NA,0,0,NA,0,0,0,5421
2017,"Na0710411_fmt","Na0710411_fmt_WNC","A",NA,0,0,NA,0,0,0,5606
2017,"Na0710411_fmt","Na0710411_fmt_WNC","B",NA,0,0,NA,0,0,0,2140
2017,"Na0710411_fmt","Na0710411_fmt_WNC","C",NA,0,0,NA,0,0,0,2140
2017,"Na0710411_fmt","Na0710411_fmt_WNC","D",NA,0,0,NA,0,0,0,5606
2017,"Na0710411_fmt","Na0710411_fmt_WNC","E",NA,0,0,NA,0,0,0,5606
2017,"Na0710412_fmc","Na0710412_fmc_OEC","A",0.2425,6.44099328253604,2656.07970413858,0.0633509102278046,44.6818689074568,7598149.67073344,2,4789
2017,"Na0710412_fmc","Na0710412_fmc_OEC","E",0.280441186887879,13.2139965280894,4711.86014961932,0.0419757521692479,188.058953194197,12049628.7467442,2,4789
2017,"Na0710412_fmc","Na0710412_fmc_OSW","A",2.10498400543649,13.0823026979253,621.491786357422,4.26655348762633,168.142535510623,379472.223147664,1,4789
2017,"Na0710412_fmc","Na0710412_fmc_OSW","B",14.8653614557464,391.44598299618,2633.27591570175,248.521199656765,116531.857188119,7797867.63926114,2,4789
2017,"Na0710412_fmc","Na0710412_fmc_OSW","C",0,0,2590.30648340482,0,0,7505666.65047016,1,4789
2017,"Na0710412_fmc","Na0710412_fmc_OSW","D",-0.862546567664393,-75.521585912572,8755.65317210288,0.203125158695076,178789.439840201,23028840.9782332,4,4789
2017,"Na0710412_fmc","Na0710412_fmc_OSW","E",-5.05050505050505,-291.342142322363,5768.5744179828,12.2074223657113,83390.3551910802,16247109.6825885,2,4789
2017,"Na0710412_fmc","Na0710412_fmc_OWC","A",NA,0,0,NA,0,0,0,5011
2017,"Na0710412_fmc","Na0710412_fmc_OWC","B",NA,0,0,NA,0,0,0,5011
2017,"Na0710412_fmc","Na0710412_fmc_OWC","C",NA,0,0,NA,0,0,0,5011
2017,"Na0710412_fmc","Na0710412_fmc_OWC","D",NA,0,0,NA,0,0,0,10139
2017,"Na0710412_fmc","Na0710412_fmc_OWC","E",NA,0,0,NA,0,0,0,10139
2017,"Na0710412_fmc","Na0710412_fmc_WCR","A",NA,0,0,NA,0,0,0,5421
2017,"Na0710412_fmc","Na0710412_fmc_WCR","B",NA,0,0,NA,0,0,0,1955
2017,"Na0710412_fmc","Na0710412_fmc_WCR","C",NA,0,0,NA,0,0,0,3466
2017,"Na0710412_fmc","Na0710412_fmc_WCR","D",NA,0,0,NA,0,0,0,3466
2017,"Na0710412_fmc","Na0710412_fmc_WCR","E",NA,0,0,NA,0,0,0,3466
2017,"Na0710412_fmc","Na0710412_fmc_WNC","A",NA,0,0,NA,0,0,0,2140
2017,"Na0710412_fmc","Na0710412_fmc_WNC","B",NA,0,0,NA,0,0,0,2140
2017,"Na0710412_fmc","Na0710412_fmc_WNC","C",NA,0,0,NA,0,0,0,185
2017,"Na0710412_fmc","Na0710412_fmc_WNC","D",NA,0,0,NA,0,0,0,1955
