"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","ew1","ew2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"RaREFI_fcw","RaREFI_fcw","eastside","eastside",NA,"E","Non-forest","Forest",303.181930569889,39042.4995532442,5,4789
2017,0,1,"RaREFI_frm","RaREFI_frm","eastside","eastside",NA,"E","Non-forest","Forest",215.934908646059,52980.3272746709,1,5128
2017,0,1,"RaSAWD_fal","RaSAWD_fal","eastside","eastside",NA,"A","Non-forest","Forest",630.694319682383,217123.175813283,4,2140
2017,0,1,"RaSAWD_fal","RaSAWD_fal","eastside","eastside",NA,"B","Non-forest","Forest",690.297924419928,248900.865531818,3,2140
2017,0,1,"RaSAWD_fal","RaSAWD_fal","westside","westside",NA,"A","Non-forest","Forest",5355.75102466504,6242620.90779463,8,2362
2017,0,1,"RaSAWD_fal","RaSAWD_fal","westside","westside",NA,"B","Non-forest","Forest",479.049258872856,89232.5623579791,4,6744
2017,0,1,"RaSAWD_fal","RaSAWD_fal","westside","westside",NA,"C","Non-forest","Forest",251.00319472667,75333.9130072658,1,3466
2017,0,1,"RaSAWD_fsw","RaSAWD_fsw","eastside","eastside",NA,"B","Non-forest","Forest",713.545611130058,334073.963836959,2,5011
2017,0,1,"RaSPFI_fcd","RaSPFI_fcd","eastside","eastside",NA,"A","Non-forest","Forest",479.454062456308,157150.433464746,2,5421
2017,0,1,"RaSPFI_fcd","RaSPFI_fcd","eastside","eastside",NA,"B","Non-forest","Forest",83.5498114848383,5164.92128758737,3,4789
2017,0,1,"RaSPFI_fcd","RaSPFI_fcd","eastside","eastside",NA,"C","Non-forest","Forest",508.823796195665,63204.7768871375,12,6966
2017,0,1,"RaSPFI_fcd","RaSPFI_fcd","eastside","eastside",NA,"E","Non-forest","Forest",117.014707193732,8514.4559212903,4,6744
2017,0,1,"RaSPFI_fmz","RaSPFI_fmz","eastside","eastside",NA,"B","Non-forest","Forest",9.30953710125891,77.676294346344,1,4789
2017,0,1,"RaSPFI_fmz","RaSPFI_fmz","eastside","eastside",NA,"C","Non-forest","Forest",16.1044292403117,138.96812438714,2,4789
2017,0,1,"RaSSHE_fss","RaSSHE_fss","eastside","eastside",NA,"B","Non-forest","Forest",497.005028112034,186534.268644307,3,5128
2017,0,1,"RaSSHE_fss","RaSSHE_fss","westside","westside",NA,"A","Non-forest","Forest",337.412623731457,24181.7350776065,7,8594
2017,0,1,"RaSSHE_fss","RaSSHE_fss","westside","westside",NA,"B","Non-forest","Forest",3699.96332296165,2601093.35515947,17,13383
2017,0,1,"RaSSHE_fss","RaSSHE_fss","westside","westside",NA,"E","Non-forest","Forest",253.0332355297,39456.9232146843,7,13383
2017,0,1,"RaTAOAco_ftm","RaTAOAco_ftm","eastside","eastside",NA,"A","Non-forest","Forest",13.9161823487598,262.474643571004,1,5128
2017,0,1,"RaTAOAco_ftm","RaTAOAco_ftm","eastside","eastside",NA,"B","Non-forest","Forest",505.622590693293,166250.561032993,1,222
2017,0,1,"RaTAOAco_ftm","RaTAOAco_ftm","eastside","eastside",NA,"C","Non-forest","Forest",28.9610634928496,838.451633332445,1,4789
2017,0,1,"RaTAOAco_ftm","RaTAOAco_ftm","eastside","eastside",NA,"E","Non-forest","Forest",1021.94382013327,460313.897813854,7,10139
2017,1,0,"Na0210290_fwo","Na0210290_fwo","eastside","eastside","A",NA,"Forest","Non-forest",174.307086256186,32841.5127641545,1,5128
2017,1,0,"Na0210290_fwo","Na0210290_fwo","eastside","eastside","B",NA,"Forest","Non-forest",865.928943524169,349006.118212083,2,5128
2017,1,0,"Na0710270_fdd","Na0710270_fdd","eastside","eastside","A",NA,"Forest","Non-forest",519.503323544592,124715.749532287,3,9917
2017,1,0,"Na0710270_fdd","Na0710270_fdd","eastside","eastside","B",NA,"Forest","Non-forest",2752.41806289794,1703773.96754983,9,9917
2017,1,0,"Na0710270_fdd","Na0710270_fdd","eastside","eastside","E",NA,"Forest","Non-forest",546.23506825636,83794.4097037165,11,9917
2017,1,0,"Na0710411_fmt","Na0710411_fmt","westside","westside","A",NA,"Forest","Non-forest",1259.48112739088,915393.560006913,4,5421
2017,1,0,"Na0710411_fmt","Na0710411_fmt","westside","westside","E",NA,"Forest","Non-forest",540.469913273921,117409.364485277,4,5606
2017,1,0,"Na0710412_fmc","Na0710412_fmc","eastside","eastside","E",NA,"Forest","Non-forest",0.982641762651833,0.734330255677052,1,4789
2017,1,0,"Na0710412_fmc","Na0710412_fmc","westside","westside","A",NA,"Forest","Non-forest",292.029218051019,65199.1769768041,1,1955
2017,1,0,"Na0710412_fmc","Na0710412_fmc","westside","westside","B",NA,"Forest","Non-forest",86.9186221429335,7983.38961468817,1,1955
2017,1,0,"Na0710412_fmc","Na0710412_fmc","westside","westside","E",NA,"Forest","Non-forest",1104.07872583535,598160.462827801,5,10432
2017,1,0,"Na0710412_fmh","Na0710412_fmh","eastside","eastside","A",NA,"Forest","Non-forest",832.928604792351,308350.347824405,6,11872
2017,1,0,"Na0710412_fmh","Na0710412_fmh","eastside","eastside","B",NA,"Forest","Non-forest",191.145412928178,11530.1469452531,6,10210
2017,1,0,"Na0710412_fmh","Na0710412_fmh","eastside","eastside","C",NA,"Forest","Non-forest",287.129107492725,90203.4037785634,1,1955
2017,1,0,"Na0710412_fmh","Na0710412_fmh","eastside","eastside","D",NA,"Forest","Non-forest",99.767403257038,13190.0884603182,1,185
2017,1,0,"Na0710412_fmh","Na0710412_fmh","eastside","eastside","E",NA,"Forest","Non-forest",711.548003592314,341200.897719439,8,10210
2017,1,0,"Na0710412_fmi","Na0710412_fmi","eastside","eastside","E",NA,"Forest","Non-forest",6.96540493511583,47.665257490367,1,4789
2017,1,0,"Na0710412_fmi","Na0710412_fmi","westside","westside","E",NA,"Forest","Non-forest",165.523442211794,26050.0633851667,1,3466
2017,1,0,"Na1010471_frn","Na1010471_frn","eastside","eastside","A",NA,"Forest","Non-forest",16.0372568537132,202.129316609015,2,5421
2017,1,0,"Na1010471_frn","Na1010471_frn","eastside","eastside","B",NA,"Forest","Non-forest",95.8793363331034,3068.58576974198,8,5421
2017,1,0,"Na1010471_frn","Na1010471_frn","eastside","eastside","E",NA,"Forest","Non-forest",20.5317969322876,434.638931289697,1,1955
2017,1,0,"R1RFWF_fcw","R1RFWF_fcw","eastside","eastside","A",NA,"Forest","Non-forest",14.9013243875518,249.708233940896,1,4789
