"strataID","BpS","SCLASS","YEAR","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2011_Na0710412_fmh","Na0710412","B",2011,"eastside","WNE","fmh","Na0710412_fmh","B",672.300085,1309929.456685,297239.215888218,264163.227261454,330315.179626323,-263490.927176454
"2011_Na0710412_fmh","Na0710412","B",2011,"westside","OWC","fmh","Na0710412_fmh","B",230.623615,1309929.456685,297239.215888218,264163.227261454,330315.179626323,-263932.603646454
"2011_Na0710412_fmh","Na0710412","C",2011,"eastside","OEC","fmh","Na0710412_fmh","C",35568.07714,1309929.456685,208841.188725848,179040.661676442,238641.703985889,-143472.584536442
"2011_Na0710412_fmh","Na0710412","C",2011,"eastside","OSW","fmh","Na0710412_fmh","C",16459.00916,1309929.456685,208841.188725848,179040.661676442,238641.703985889,-162581.652516442
"2011_Na0710412_fmh","Na0710412","C",2011,"eastside","WCB","fmh","Na0710412_fmh","C",14.23328,1309929.456685,208841.188725848,179040.661676442,238641.703985889,-179026.428396442
"2011_Na0710412_fmh","Na0710412","C",2011,"eastside","WEC","fmh","Na0710412_fmh","C",55167.526095,1309929.456685,208841.188725848,179040.661676442,238641.703985889,-123873.135581442
"2011_Na0710412_fmh","Na0710412","C",2011,"eastside","WNE","fmh","Na0710412_fmh","C",320.471195,1309929.456685,208841.188725848,179040.661676442,238641.703985889,-178720.190481442
"2011_Na0710412_fmh","Na0710412","C",2011,"westside","OWC","fmh","Na0710412_fmh","C",8.228615,1309929.456685,208841.188725848,179040.661676442,238641.703985889,-179032.433061442
"2011_Na0710412_fmh","Na0710412","D",2011,"eastside","OEC","fmh","Na0710412_fmh","D",14352.03893,1309929.456685,64531.6744213062,45979.5600838437,83083.7900686981,-31627.5211538437
"2011_Na0710412_fmh","Na0710412","D",2011,"eastside","OSW","fmh","Na0710412_fmh","D",9039.689565,1309929.456685,64531.6744213062,45979.5600838437,83083.7900686981,-36939.8705188437
"2011_Na0710412_fmh","Na0710412","D",2011,"eastside","WCB","fmh","Na0710412_fmh","D",1.556765,1309929.456685,64531.6744213062,45979.5600838437,83083.7900686981,-45978.0033188437
"2011_Na0710412_fmh","Na0710412","D",2011,"eastside","WEC","fmh","Na0710412_fmh","D",7705.98675,1309929.456685,64531.6744213062,45979.5600838437,83083.7900686981,-38273.5733338437
"2011_Na0710412_fmh","Na0710412","D",2011,"eastside","WNE","fmh","Na0710412_fmh","D",26.909795,1309929.456685,64531.6744213062,45979.5600838437,83083.7900686981,-45952.6502888437
"2011_Na0710412_fmh","Na0710412","D",2011,"westside","OWC","fmh","Na0710412_fmh","D",4.89269,1309929.456685,64531.6744213062,45979.5600838437,83083.7900686981,-45974.6673938437
"2011_Na0710412_fmh","Na0710412","E",2011,"eastside","OEC","fmh","Na0710412_fmh","E",199439.83289,1309929.456685,546089.1844109,510623.588411085,581554.831497964,-311183.755521085
"2011_Na0710412_fmh","Na0710412","E",2011,"eastside","OSW","fmh","Na0710412_fmh","E",88631.52414,1309929.456685,546089.1844109,510623.588411085,581554.831497964,-421992.064271085
"2011_Na0710412_fmh","Na0710412","E",2011,"eastside","WCB","fmh","Na0710412_fmh","E",14.455675,1309929.456685,546089.1844109,510623.588411085,581554.831497964,-510609.132736085
"2011_Na0710412_fmh","Na0710412","E",2011,"eastside","WEC","fmh","Na0710412_fmh","E",217930.19798,1309929.456685,546089.1844109,510623.588411085,581554.831497964,-292693.390431085
"2011_Na0710412_fmh","Na0710412","E",2011,"eastside","WNE","fmh","Na0710412_fmh","E",477.482065,1309929.456685,546089.1844109,510623.588411085,581554.831497964,-510146.106346085
"2011_Na0710412_fmh","Na0710412","E",2011,"westside","OWC","fmh","Na0710412_fmh","E",382.96419,1309929.456685,546089.1844109,510623.588411085,581554.831497964,-510240.624221085
"2011_Na0710412_fmi","Na0710412","A",2011,"eastside","OEC","fmi","Na0710412_fmi","A",917.379375,83968.79057,12386.267869246,10604.8699773034,14167.6657611885,-9687.49060230341
"2011_Na0710412_fmi","Na0710412","A",2011,"eastside","OSW","fmi","Na0710412_fmi","A",1684.41973,83968.79057,12386.267869246,10604.8699773034,14167.6657611885,-8920.45024730341
"2011_Na0710412_fmi","Na0710412","A",2011,"westside","OWC","fmi","Na0710412_fmi","A",1820.97026,83968.79057,12386.267869246,10604.8699773034,14167.6657611885,-8783.89971730341
"2011_Na0710412_fmi","Na0710412","A",2011,"westside","WNC","fmi","Na0710412_fmi","A",133.659395,83968.79057,12386.267869246,10604.8699773034,14167.6657611885,-10471.2105823034
"2011_Na0710412_fmi","Na0710412","A",2011,"westside","WWC","fmi","Na0710412_fmi","A",2764.36985,83968.79057,12386.267869246,10604.8699773034,14167.6657611885,-7840.50012730341
"2011_Na0710412_fmi","Na0710412","B",2011,"eastside","OEC","fmi","Na0710412_fmi","B",13457.56624,83968.79057,19053.5584498354,16933.3291903721,21173.7861138918,-3475.76295037206
"2011_Na0710412_fmi","Na0710412","B",2011,"eastside","OSW","fmi","Na0710412_fmi","B",8962.96329,83968.79057,19053.5584498354,16933.3291903721,21173.7861138918,-7970.36590037206
"2011_Na0710412_fmi","Na0710412","B",2011,"westside","OWC","fmi","Na0710412_fmi","B",6361.164185,83968.79057,19053.5584498354,16933.3291903721,21173.7861138918,-10572.1650053721
"2011_Na0710412_fmi","Na0710412","B",2011,"westside","WNC","fmi","Na0710412_fmi","B",570.443175,83968.79057,19053.5584498354,16933.3291903721,21173.7861138918,-16362.8860153721
"2011_Na0710412_fmi","Na0710412","B",2011,"westside","WWC","fmi","Na0710412_fmi","B",6688.75202,83968.79057,19053.5584498354,16933.3291903721,21173.7861138918,-10244.5771703721
