BpS_Code,MAP_ZONE,SCLASS,AREA_PCT,AREA,AREA_TOTAL
RaDFHEwt_fww,ZoneNull,D,3.25259515570934,20.90513,642.72155
RaDFHEwt_fww,ZoneNull,E,1.83391003460208,11.786935,642.72155
RaDFWV_fwx,OEC,A,13.5658914728682,31.1353,229.51164
RaDFWV_fwx,OEC,B,18.7015503875969,42.922235,229.51164
RaDFWV_fwx,OEC,C,6.3953488372093,14.67807,229.51164
RaDFWV_fwx,OEC,D,18.7984496124031,43.14463,229.51164
RaDFWV_fwx,OEC,E,42.5387596899225,97.631405,229.51164
RaDFWV_fwx,OSW,A,8.53306407326708,3213.830145,37663.260435
RaDFWV_fwx,OSW,B,27.3234014159773,10290.883835,37663.260435
RaDFWV_fwx,OSW,C,7.57943467195739,2854.66222,37663.260435
RaDFWV_fwx,OSW,D,5.72768123387244,2157.2315,37663.260435
RaDFWV_fwx,OSW,E,50.8364186049258,19146.652735,37663.260435
RaDFWV_fwx,ZoneNull,A,41.2883319690196,1458.244015,3531.854995
RaDFWV_fwx,ZoneNull,B,15.8302373905925,559.10103,3531.854995
RaDFWV_fwx,ZoneNull,C,16.2647188464203,574.446285,3531.854995
RaDFWV_fwx,ZoneNull,D,20.8614067124237,736.794635,3531.854995
RaDFWV_fwx,ZoneNull,E,5.75530508154398,203.26903,3531.854995
RaMCONdy_fdd,OBM,A,12.2903907672854,208550.02167,1696854.27924
RaMCONdy_fdd,OBM,B,35.0078349527491,594031.945465,1696854.27924
RaMCONdy_fdd,OBM,C,44.3761474575329,752998.557095,1696854.27924
RaMCONdy_fdd,OBM,D,1.46056730405279,24783.6988,1696854.27924
RaMCONdy_fdd,OBM,E,6.86505951837977,116490.05621,1696854.27924
RaMCONdy_fdd,WCB,A,0.847457627118644,27.354585,3227.84103
RaMCONdy_fdd,WCB,B,74.4315832988838,2402.533185,3227.84103
RaMCONdy_fdd,WCB,C,13.7453493179,443.678025,3227.84103
RaMCONdy_fdd,WCB,E,10.9756097560976,354.275235,3227.84103
RaMCONdy_fdd,WNE,A,6.91783799027582,190286.05469,2750657.86388
RaMCONdy_fdd,WNE,B,66.4459526675519,1827700.82228,2750657.86388
RaMCONdy_fdd,WNE,C,19.8930592486755,547189.99859,2750657.86388
RaMCONdy_fdd,WNE,D,0.552960040568083,15210.03884,2750657.86388
RaMCONdy_fdd,WNE,E,6.19019005292867,170270.94948,2750657.86388
RaMCONdy_fdg,OBM,A,8.32104625559369,88935.31571,1068799.67949
RaMCONdy_fdg,OBM,B,45.6105689260324,487485.614495,1068799.67949
RaMCONdy_fdg,OBM,C,33.3127126829693,356046.166385,1068799.67949
RaMCONdy_fdg,OBM,D,1.63348427399705,17458.674685,1068799.67949
RaMCONdy_fdg,OBM,E,11.1221878614076,118873.908215,1068799.67949
RaMCONdy_fdx,OEC,A,8.82861182384668,374.95797,4247.077315
RaMCONdy_fdx,OEC,B,48.8767869298843,2075.83493,4247.077315
