"YEAR","STATE","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
2002,"Oregon","RaPIPOm","fpd","RaPIPOm_fpd","C",10964.96308
2002,"Oregon","RaPIPOm","fpd","RaPIPOm_fpd","D",4299.562535
2002,"Oregon","RaPIPOm","fpd","RaPIPOm_fpd","E",18839.52524
2002,"Oregon","RaPIPOm","fpl","RaPIPOm_fpl","A",185725.400425
2002,"Oregon","RaPIPOm","fpl","RaPIPOm_fpl","B",393301.776785
2002,"Oregon","RaPIPOm","fpl","RaPIPOm_fpl","C",127381.18415
2002,"Oregon","RaPIPOm","fpl","RaPIPOm_fpl","D",63751.973095
2002,"Oregon","RaPIPOm","fpl","RaPIPOm_fpl","E",192609.415255
2002,"Oregon","RaPIPOxe","fpd","RaPIPOxe_fpd","A",104636.180315
2002,"Oregon","RaPIPOxe","fpd","RaPIPOxe_fpd","B",369226.40606
2002,"Oregon","RaPIPOxe","fpd","RaPIPOxe_fpd","C",64454.96369
2002,"Oregon","RaPIPOxe","fpd","RaPIPOxe_fpd","D",3929.71965
2002,"Oregon","RaPIPOxe","fpd","RaPIPOxe_fpd","E",100896.830785
2002,"Oregon","RaPIPOxe","fxp","RaPIPOxe_fxp","A",307912.54935
2002,"Oregon","RaPIPOxe","fxp","RaPIPOxe_fxp","B",445634.65621
2002,"Oregon","RaPIPOxe","fxp","RaPIPOxe_fxp","C",132691.97675
2002,"Oregon","RaPIPOxe","fxp","RaPIPOxe_fxp","D",10237.064245
2002,"Oregon","RaPIPOxe","fxp","RaPIPOxe_fxp","E",113697.2198
2002,"Oregon","RaREFI","fcw","RaREFI_fcw","A",7031.462715
2002,"Oregon","RaREFI","fcw","RaREFI_fcw","B",115415.665965
2002,"Oregon","RaREFI","fcw","RaREFI_fcw","C",22447.439325
2002,"Oregon","RaREFI","fcw","RaREFI_fcw","D",5909.03515
2002,"Oregon","RaREFI","fcw","RaREFI_fcw","E",115036.704885
2002,"Oregon","RaREFI","frf","RaREFI_frf","A",4884.461385
2002,"Oregon","RaREFI","frf","RaREFI_frf","B",37955.042675
2002,"Oregon","RaREFI","frf","RaREFI_frf","C",5446.45355
2002,"Oregon","RaREFI","frf","RaREFI_frf","D",26.465005
2002,"Oregon","RaREFI","frf","RaREFI_frf","E",8367.83427
2002,"Oregon","RaREFI","frm","RaREFI_frm","A",1238.962545
2002,"Oregon","RaREFI","frm","RaREFI_frm","B",34890.21718
2002,"Oregon","RaREFI","frm","RaREFI_frm","C",2202.15529
2002,"Oregon","RaREFI","frm","RaREFI_frm","D",257.311015
2002,"Oregon","RaREFI","frm","RaREFI_frm","E",49625.887485
2002,"Oregon","RaSAWD","fal","RaSAWD_fal","A",12297.99871
2002,"Oregon","RaSAWD","fal","RaSAWD_fal","B",86291.03916
2002,"Oregon","RaSAWD","fal","RaSAWD_fal","C",2904.03391
2002,"Oregon","RaSAWD","fsw","RaSAWD_fsw","A",24482.57597
2002,"Oregon","RaSAWD","fsw","RaSAWD_fsw","B",27334.56945
2002,"Oregon","RaSAWD","fsw","RaSAWD_fsw","C",5505.61062
2002,"Oregon","RaSPFI","fcd","RaSPFI_fcd","A",20525.72413
2002,"Oregon","RaSPFI","fcd","RaSPFI_fcd","B",50180.985405
2002,"Oregon","RaSPFI","fcd","RaSPFI_fcd","C",194764.867595
2002,"Oregon","RaSPFI","fcd","RaSPFI_fcd","D",59070.558345
2002,"Oregon","RaSPFI","fcd","RaSPFI_fcd","E",187540.81081
2002,"Oregon","RaSPFI","fmz","RaSPFI_fmz","A",4208.15819
2002,"Oregon","RaSPFI","fmz","RaSPFI_fmz","B",31629.239295
2002,"Oregon","RaSPFI","fmz","RaSPFI_fmz","C",95481.73493
2002,"Oregon","RaSPFI","fmz","RaSPFI_fmz","D",42872.196125
2002,"Oregon","RaSPFI","fmz","RaSPFI_fmz","E",66611.7504
2002,"Oregon","RaSSHE","fss","RaSSHE_fss","A",65211.55148
2002,"Oregon","RaSSHE","fss","RaSSHE_fss","B",409745.44069
2002,"Oregon","RaSSHE","fss","RaSSHE_fss","D",29812.272145
2002,"Oregon","RaSSHE","fss","RaSSHE_fss","E",238654.965635
2002,"Oregon","RaTAOAco","ftm","RaTAOAco_ftm","A",38391.826455
2002,"Oregon","RaTAOAco","ftm","RaTAOAco_ftm","B",240808.638815
2002,"Oregon","RaTAOAco","ftm","RaTAOAco_ftm","C",33834.508115
2002,"Oregon","RaTAOAco","ftm","RaTAOAco_ftm","D",19381.501855
2002,"Oregon","RaTAOAco","ftm","RaTAOAco_ftm","E",254284.66384
2002,"Oregon","RaTAOAco","fto","RaTAOAco_fto","A",6108.523465
2002,"Oregon","RaTAOAco","fto","RaTAOAco_fto","B",8153.89028
2002,"Oregon","RaTAOAco","fto","RaTAOAco_fto","C",2814.853515
2002,"Oregon","RaTAOAco","fto","RaTAOAco_fto","D",3923.93738
2002,"Oregon","RaTAOAco","fto","RaTAOAco_fto","E",5918.37574
2002,"Washington","Na0710411","fmt","Na0710411_fmt","A",17466.680905
2002,"Washington","Na0710411","fmt","Na0710411_fmt","B",184226.458125
2002,"Washington","Na0710411","fmt","Na0710411_fmt","C",87400.567815
2002,"Washington","Na0710411","fmt","Na0710411_fmt","D",15560.755755
2002,"Washington","Na0710411","fmt","Na0710411_fmt","E",198948.33994
2002,"Washington","Na0710412","fmc","Na0710412_fmc","A",30500.58467
2002,"Washington","Na0710412","fmc","Na0710412_fmc","B",132729.561505
2002,"Washington","Na0710412","fmc","Na0710412_fmc","C",16332.24401
2002,"Washington","Na0710412","fmc","Na0710412_fmc","D",15890.12275
2002,"Washington","Na0710412","fmc","Na0710412_fmc","E",341343.632935
2002,"Washington","Na0710412","fmh","Na0710412_fmh","A",64258.8113
2002,"Washington","Na0710412","fmh","Na0710412_fmh","B",255274.32159
2002,"Washington","Na0710412","fmh","Na0710412_fmh","C",41287.63175
2002,"Washington","Na0710412","fmh","Na0710412_fmh","D",64323.973035
2002,"Washington","Na0710412","fmh","Na0710412_fmh","E",332321.512575
2002,"Washington","Na0710412","fmi","Na0710412_fmi","A",2359.388555
2002,"Washington","Na0710412","fmi","Na0710412_fmi","B",14472.799415
2002,"Washington","Na0710412","fmi","Na0710412_fmi","C",1526.51928
2002,"Washington","Na0710412","fmi","Na0710412_fmi","D",591.12591
2002,"Washington","Na0710412","fmi","Na0710412_fmi","E",18433.87676
2002,"Washington","Na1010471","frn","Na1010471_frn","A",18262.410215
2002,"Washington","Na1010471","frn","Na1010471_frn","B",486219.07497
2002,"Washington","Na1010471","frn","Na1010471_frn","C",145619.575705
2002,"Washington","Na1010471","frn","Na1010471_frn","D",1458.9112
2002,"Washington","Na1010471","frn","Na1010471_frn","E",34439.64491
2002,"Washington","RaABAMlw","fsi","RaABAMlw_fsi","A",63629.655845
2002,"Washington","RaABAMlw","fsi","RaABAMlw_fsi","B",633211.272615
2002,"Washington","RaABAMlw","fsi","RaABAMlw_fsi","C",163221.695165
2002,"Washington","RaABAMlw","fsi","RaABAMlw_fsi","D",3772.486385
2002,"Washington","RaABAMlw","fsi","RaABAMlw_fsi","E",503582.3422
2002,"Washington","RaABAMlw","fsw","RaABAMlw_fsw","D",0.222395
2002,"Washington","RaABAMlw","fsw","RaABAMlw_fsw","E",4.670295
2002,"Washington","RaABAMlw","fwc","RaABAMlw_fwc","A",27693.51498
2002,"Washington","RaABAMlw","fwc","RaABAMlw_fwc","B",150811.38698
2002,"Washington","RaABAMlw","fwc","RaABAMlw_fwc","C",27751.78247
2002,"Washington","RaABAMlw","fwc","RaABAMlw_fwc","D",3128.20807
2002,"Washington","RaABAMlw","fwc","RaABAMlw_fwc","E",80612.627625
2002,"Washington","RaABAMup","fst","RaABAMup_fst","A",61691.261025
2002,"Washington","RaABAMup","fst","RaABAMup_fst","B",704918.982045
2002,"Washington","RaABAMup","fst","RaABAMup_fst","C",94605.276235
2002,"Washington","RaABAMup","fst","RaABAMup_fst","D",3000.99813
2002,"Washington","RaABAMup","fst","RaABAMup_fst","E",599478.62141
2002,"Washington","RaABLA","faf","RaABLA_faf","A",8989.2059
2002,"Washington","RaABLA","faf","RaABLA_faf","B",79595.1705
2002,"Washington","RaABLA","faf","RaABLA_faf","C",3099.074325
2002,"Washington","RaABLA","faf","RaABLA_faf","D",1.77916
2002,"Washington","RaABLA","faf","RaABLA_faf","E",79916.531275
2002,"Washington","RaDFHEdy","fdg","RaDFHEdy_fdg","A",247617.70653
2002,"Washington","RaDFHEdy","fdg","RaDFHEdy_fdg","B",652570.312575
2002,"Washington","RaDFHEdy","fdg","RaDFHEdy_fdg","C",195687.58445
2002,"Washington","RaDFHEdy","fdg","RaDFHEdy_fdg","D",20654.71323
2002,"Washington","RaDFHEdy","fdg","RaDFHEdy_fdg","E",362758.937065
2002,"Washington","RaDFHEdy","fwi","RaDFHEdy_fwi","A",465447.159575
2002,"Washington","RaDFHEdy","fwi","RaDFHEdy_fwi","B",1332565.709365
2002,"Washington","RaDFHEdy","fwi","RaDFHEdy_fwi","C",374152.677705
2002,"Washington","RaDFHEdy","fwi","RaDFHEdy_fwi","D",44168.09179
2002,"Washington","RaDFHEdy","fwi","RaDFHEdy_fwi","E",747020.579495
2002,"Washington","RaDFHEwt","fwm","RaDFHEwt_fwm","A",169036.434835
2002,"Washington","RaDFHEwt","fwm","RaDFHEwt_fwm","B",666128.401355
2002,"Washington","RaDFHEwt","fwm","RaDFHEwt_fwm","C",144338.35811
2002,"Washington","RaDFHEwt","fwm","RaDFHEwt_fwm","D",24235.495125
2002,"Washington","RaDFHEwt","fwm","RaDFHEwt_fwm","E",471281.24761
2002,"Washington","RaDFHEwt","fwn","RaDFHEwt_fwn","A",163001.74651
2002,"Washington","RaDFHEwt","fwn","RaDFHEwt_fwn","B",607237.09338
2002,"Washington","RaDFHEwt","fwn","RaDFHEwt_fwn","C",105217.29845
2002,"Washington","RaDFHEwt","fwn","RaDFHEwt_fwn","D",8904.028615
2002,"Washington","RaDFHEwt","fwn","RaDFHEwt_fwn","E",250730.124555
2002,"Washington","RaDFHEwt","fww","RaDFHEwt_fww","A",33002.52842
2002,"Washington","RaDFHEwt","fww","RaDFHEwt_fww","B",187996.498165
2002,"Washington","RaDFHEwt","fww","RaDFHEwt_fww","C",31440.648335
