OBJECTID,LF_BpS_Code,BpS,PVT,Sclass,BPS_SCLASS_old,BPS_SCLASS,Avg_,Minus_2_SD,Plus_2_SD,FRG,LL
168,RaMCONms_fcm,RaMCONms,fcm,E,RaMCONms_E,RaMCONms_fcm_E,18.9218559,16.6897659,21.1539478,3,2
169,RaMCONms_fcm,RaMCONms,fcm,C,RaMCONms_C,RaMCONms_fcm_C,12.5155087,10.4491196,14.5818987,3,2
170,RaMCONms_fcm,RaMCONms,fcm,D,RaMCONms_D,RaMCONms_fcm_D,9.6417761,7.7900591,11.4934940,3,2
171,RaMCONms_fmm,RaMCONms,fmm,A,RaMCONms_A,RaMCONms_fmm_A,14.5160475,12.4187250,16.6133709,3,2
172,RaMCONms_fmm,RaMCONms,fmm,B,RaMCONms_B,RaMCONms_fmm_B,44.4048119,41.5293503,47.2802696,3,2
173,RaMCONms_fmm,RaMCONms,fmm,E,RaMCONms_E,RaMCONms_fmm_E,18.9218559,16.6897659,21.1539478,3,2
174,RaMCONms_fmm,RaMCONms,fmm,C,RaMCONms_C,RaMCONms_fmm_C,12.5155087,10.4491196,14.5818987,3,2
175,RaMCONms_fmm,RaMCONms,fmm,D,RaMCONms_D,RaMCONms_fmm_D,9.6417761,7.7900591,11.4934940,3,2
176,RaMCONsw_fdm,RaMCONsw,fdm,A,RaMCONsw_A,RaMCONsw_fdm_A,14.5955286,12.3717318,16.8193264,1,1
177,RaMCONsw_fdm,RaMCONsw,fdm,B,RaMCONsw_B,RaMCONsw_fdm_B,2.8737125,1.8084147,3.9390104,1,1
178,RaMCONsw_fdm,RaMCONsw,fdm,E,RaMCONsw_E,RaMCONsw_fdm_E,18.0829945,15.7805672,20.3854218,1,1
179,RaMCONsw_fdm,RaMCONsw,fdm,C,RaMCONsw_C,RaMCONsw_fdm_C,12.5872459,10.6953764,14.4791145,1,1
180,RaMCONsw_fdm,RaMCONsw,fdm,D,RaMCONsw_D,RaMCONsw_fdm_D,51.8605194,48.8090553,54.9119835,1,1
181,RaMCONsw_fiw,RaMCONsw,fiw,A,RaMCONsw_A,RaMCONsw_fiw_A,14.5955286,12.3717318,16.8193264,1,1
182,RaMCONsw_fiw,RaMCONsw,fiw,B,RaMCONsw_B,RaMCONsw_fiw_B,2.8737125,1.8084147,3.9390104,1,1
183,RaMCONsw_fiw,RaMCONsw,fiw,E,RaMCONsw_E,RaMCONsw_fiw_E,18.0829945,15.7805672,20.3854218,1,1
184,RaMCONsw_fiw,RaMCONsw,fiw,C,RaMCONsw_C,RaMCONsw_fiw_C,12.5872459,10.6953764,14.4791145,1,1
185,RaMCONsw_fiw,RaMCONsw,fiw,D,RaMCONsw_D,RaMCONsw_fiw_D,51.8605194,48.8090553,54.9119835,1,1
186,RaMCONsw_fvw,RaMCONsw,fvw,A,RaMCONsw_A,RaMCONsw_fvw_A,14.5955286,12.3717318,16.8193264,1,1
187,RaMCONsw_fvw,RaMCONsw,fvw,B,RaMCONsw_B,RaMCONsw_fvw_B,2.8737125,1.8084147,3.9390104,1,1
188,RaMCONsw_fvw,RaMCONsw,fvw,E,RaMCONsw_E,RaMCONsw_fvw_E,18.0829945,15.7805672,20.3854218,1,1
189,RaMCONsw_fvw,RaMCONsw,fvw,C,RaMCONsw_C,RaMCONsw_fvw_C,12.5872459,10.6953764,14.4791145,1,1
