"PLT_CN","sclass"
15349848010497,NA
15349865010497,NA
15349882010497,NA
15349899010497,NA
15349916010497,NA
15349931010497,NA
15349946010497,NA
15349961010497,NA
15349976010497,NA
15349991010497,NA
15350006010497,NA
15350021010497,NA
15350036010497,NA
15350051010497,NA
15350066010497,NA
24449116010900,"E"
24449397010900,"A"
24449617010900,"E"
24449894010900,"B"
24450221010900,"C"
24450282010900,"B"
24450482010900,"E"
24450729010900,"E"
24451014010900,"D"
24451252010900,"E"
24451471010900,NA
24451487010900,"E"
24451725010900,"B"
23848533010900,"B"
23848661010900,NA
23848730010900,NA
23848754010900,NA
23848778010900,NA
23848802010900,NA
23848826010900,NA
23848843010900,NA
23848866010900,NA
23848890010900,NA
23848914010900,NA
23848938010900,"E"
23849180010900,"D"
23849369010900,"E"
23849570010900,"D"
23849728010900,NA
23849744010900,"E"
23849948010900,"E"
23850163010900,"E"
23850351010900,"B"
23850638010900,NA
23850662010900,"E"
23850884010900,"B"
