"PLT_CN","CONDID","sclass"
9827848010902,1,"E"
9827860010902,2,"B"
9827953010902,1,"E"
10775507020004,1,"E"
12777129010497,1,"C"
12777856010497,1,"E"
12778045010497,1,"B"
12778045010497,3,"A"
12778284010497,1,"B"
12778469010497,1,"A"
12778644010497,1,"B"
12778871010497,1,"B"
12779038010497,1,"E"
12779351010497,1,"B"
12779652010497,1,"E"
12779652010497,2,"B"
12779828010497,1,"B"
12780166010497,1,"B"
12780166010497,2,"B"
12780469010497,1,"C"
12780763010497,1,"B"
12781089010497,1,"B"
12781339010497,1,"B"
12782368010497,2,"A"
12783546010497,2,"E"
12784041010497,1,"B"
12784345010497,1,"B"
12784581010497,1,"B"
12784780010497,1,"B"
12784780010497,2,"B"
12784948010497,1,"B"
12785186010497,1,"B"
12785186010497,2,"B"
12785579010497,1,"B"
12785768010497,1,"B"
12785768010497,3,"B"
12786454010497,1,"C"
12786833010497,1,"B"
12787307010497,1,"C"
12787771010497,1,"B"
12788042010497,1,"B"
12788467010497,1,"E"
12788763010497,1,"B"
12789122010497,1,"E"
12789328010497,2,"C"
12789506010497,1,"A"
12789700010497,1,"B"
12789898010497,1,"A"
12790315010497,1,"B"
12790548010497,2,"B"
12790777010497,1,"B"
12791468010497,1,"C"
12791651010497,1,"E"
12791900010497,1,"B"
12792107010497,1,"B"
12792107010497,2,"B"
12793015010497,1,"B"
12794149010497,1,"E"
12794149010497,2,"B"
12794762010497,2,"C"
12795490010497,1,"B"
12797295010497,1,"B"
12797668010497,1,"E"
12798276010497,1,"B"
12798500010497,1,"B"
12798959010497,1,"E"
12799456010497,1,"E"
12799819010497,1,"B"
12800180010497,1,"E"
12800605010497,1,"E"
12801126010497,1,"B"
12801357010497,1,"E"
12801505010497,1,"B"
12801636010497,2,"B"
12801808010497,1,"B"
12801963010497,1,"B"
12802142010497,1,"E"
12802420010497,1,"B"
12802569010497,1,"E"
12802730010497,1,"B"
12802730010497,2,"B"
12802934010497,1,"E"
12803126010497,1,"B"
12803348010497,2,"E"
12803573010497,1,"E"
12803775010497,1,"B"
12803954010497,1,"E"
12804257010497,1,"E"
12804607010497,1,"B"
12805271010497,1,"E"
12805523010497,1,"B"
12805765010497,1,"B"
12805979010497,1,"B"
12806252010497,1,"E"
12806619010497,1,"B"
12806846010497,1,"E"
12807070010497,1,"E"
12807466010497,1,"B"
12807708010497,1,"E"
12808041010497,1,"B"
12808317010497,1,"B"
12808454010497,1,"E"
12808682010497,1,"E"
12808903010497,2,"B"
12808903010497,3,"A"
12809032010497,1,"A"
12809197010497,1,"B"
12809836010497,1,"E"
12810031010497,1,"B"
12810157010497,1,"B"
12810464010497,1,"E"
12810726010497,1,"A"
12811072010497,1,"A"
12811277010497,1,"E"
12811513010497,1,"E"
12811513010497,2,"B"
12811867010497,1,"A"
12812129010497,1,"B"
12812315010497,1,"A"
12812481010497,1,"B"
12812732010497,1,"B"
12812975010497,1,"B"
12813363010497,1,"A"
12813523010497,1,"A"
12813751010497,1,"B"
12814091010497,1,"B"
12814230010497,1,"B"
12814422010497,1,"B"
12814778010497,1,"B"
12814996010497,1,"B"
12815212010497,1,"B"
12815407010497,1,"B"
12815562010497,1,"E"
12815809010497,1,"E"
12816161010497,1,"B"
12816389010497,1,"B"
12816389010497,2,"B"
12816616010497,1,"B"
12816820010497,1,"B"
12817099010497,1,"B"
12817230010497,1,"B"
12817452010497,1,"B"
12817452010497,2,"B"
12818424010497,1,"B"
12818670010497,1,"E"
12819238010497,1,"E"
12819566010497,1,"C"
12819790010497,1,"B"
12820101010497,1,"E"
12820341010497,1,"B"
12820494010497,1,"E"
12820617010497,1,"A"
12820617010497,2,"B"
12820838010497,1,"B"
12820922010497,1,"B"
12821245010497,1,"E"
12821803010497,1,"E"
12822088010497,1,"B"
12822537010497,1,"A"
12822738010497,1,"E"
12822969010497,1,"E"
12823249010497,1,"E"
12823446010497,1,"E"
12823446010497,2,"B"
12823863010497,1,"B"
12823863010497,2,"B"
12824054010497,1,"E"
12824233010497,1,"B"
12824233010497,2,"C"
12824489010497,1,"E"
12824489010497,2,"B"
12824750010497,1,"E"
12825265010497,1,"C"
12825515010497,1,"A"
12825806010497,1,"B"
12826082010497,1,"C"
12826511010497,1,"B"
12826795010497,1,"B"
12827113010497,1,"B"
12827312010497,1,"B"
12827435010497,1,"E"
12827642010497,1,"B"
12827908010497,1,"A"
12828174010497,1,"B"
12828567010497,1,"B"
12828911010497,1,"A"
12829215010497,1,"E"
12829534010497,1,"B"
12829640010497,1,"E"
12829979010497,1,"B"
12830404010497,1,"B"
12830789010497,1,"B"
12831159010497,1,"B"
12831502010497,1,"A"
