"SPCD","species","eq","a1","a2","a3","a4","a5","a6","variant"
117,"SP",5,"3.593","0.63503","-0.2277","0.17827","0.04267","-0.0029","WC"
119,"WP",5,"5.3822","0.57896","-0.1958","0.14875",NA,"-0.0069","WC"
122,"PP",5,"4.7762","0.74126","-0.2873","0.17137","-0.006","-0.0021","WC"
202,"DF",5,"6.0227","0.54361","-0.2067","0.20395","-0.0064","-0.0038","WC"
211,"RW",4,"3.7023","0.52618",NA,NA,NA,NA,"WC"
242,"RC",5,"6.2382","0.29517","-0.1067","0.23219","0.05341","-0.0079","WC"
263,"WH",5,"6.0384","0.51581","-0.2135","0.17468","0.06143","-0.0057","WC"
264,"MH",3,"6.90396","0.55645","-0.2851","0.2043",NA,NA,"WC"
312,"BM",6,"7.5183","0.4461",NA,NA,NA,NA,"WC"
351,"RA",6,"7.0806","0.4771",NA,NA,NA,NA,"WC"
312,"WA",6,"7.5183","0.4461",NA,NA,NA,NA,"WC"
375,"PB",6,"5.898","0.4841",NA,NA,NA,NA,"WC"
631,"GC",2,"3.115","0.7966",NA,"0.0745","-0.0053","0.0523","WC"
746,"AS",5,"4.7961","0.64167","-0.187","0.18581",NA,NA,"WC"
747,"CW",5,"4.4327","0.41505","-0.2326","0.41477",NA,NA,"WC"
815,"WO",5,"2.4857","0.70862",NA,"0.10168",NA,NA,"WC"
64,"WJ",5,"5.1486","0.73636","-0.4693","0.39114","-0.0543",NA,"WC"
72,"LL",4,"2.2586","0.68532",NA,NA,NA,NA,"WC"
101,"WB",5,"2.2354","0.6668","-0.1166","0.16927",NA,NA,"WC"
103,"KP",5,"4.0069","0.84628","-0.2904","0.13143",NA,"-0.0084","WC"
231,"PY",4,"6.1297","0.45424",NA,NA,NA,NA,"WC"
351,"DG",6,"7.0806","0.4771",NA,NA,NA,NA,"WC"
351,"HT",6,"7.0806","0.4771",NA,NA,NA,NA,"WC"
351,"CH",6,"7.0806","0.4771",NA,NA,NA,NA,"WC"
312,"WI",6,"7.5183","0.4461",NA,NA,NA,NA,"WC"
122,"OT",5,"4.7762","0.74126","-0.2873","0.17137","-0.006","-0.0021","WC"
