"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","BPS_LLID"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,782.569909254236,"Na0210290_fwo_1710030905"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,81.5682818591391,"Na0210290_fwo_1710030906"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,156.605030123305,"Na0210290_fwo_1710030906"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,2459.05518346445,"Na0210290_fwo_1710030906"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4605.6163132102,"Na0210290_fwo_1710031001"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,8.48293479869168,"Na0210290_fwo_1710031002"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,8.34801268758152,"Na0210290_fwo_1710031002"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,162.433546450112,"Na0210290_fwo_1710031002"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,6.70142546639379,"Na0210290_fwo_1710031003"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,482.321030019057,"Na0210290_fwo_1710031003"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,26.6395996069565,"Na0210290_fwo_1710031003"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,6.28415649759406,"Na0210290_fwo_1710031004"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,3.26858364766409,"Na0210290_fwo_1710031004"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,23.8882711663303,"Na0210290_fwo_1710031004"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,0.18275637602415,"Na0210290_fwo_1710031004"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,1.16582875343032,"Na0210290_fwo_1710031005"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,1.93284900570148,"Na0210290_fwo_1710031005"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1.91950775204648,"Na0210290_fwo_1710031005"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,0.4637990880838,"Na0210290_fwo_1710031005"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,20.9343065524792,"Na0210290_fwo_1710031006"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,32.8597977388878,"Na0210290_fwo_1710031006"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,46.2117793773037,"Na0210290_fwo_1710031006"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,5.05269082177038,"Na0210290_fwo_1710031006"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,6.8416397089395,"Na0210290_fwo_1710031008"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,14.6378487856342,"Na0210290_fwo_1710031008"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,8.7721959502905,"Na0210290_fwo_1710031008"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,0.3534064177972,"Na0210290_fwo_1710031105"
"Na0210290_fwo",10,"A","C","Grow w/ fire","None",0,0,1,0.42348037085736,"Na0210290_fwo_1710031105"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,3.30202007806968,"Na0210290_fwo_1710031105"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,0.12916255386672,"Na0210290_fwo_1710031105"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,0.13812437671516,"Na0210290_fwo_1710031108"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1.58772853366654,"Na0210290_fwo_1710031108"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,1.11022302462516e-16,"Na0210290_fwo_1710031108"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,0.11605484520744,"Na0210290_fwo_1710031108"
"Na0210290_fwo",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,0.0753448230889199,"Na0210290_fwo_1710031108"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,0.04163674119394,"Na0210290_fwo_1710031110"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,0.13758416991957,"Na0210290_fwo_1710031110"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,0.01656425314585,"Na0210290_fwo_1710031110"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,0.00538177307778,"Na0210290_fwo_1710031110"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,9.09526075936992,"Na0210290_fwo_1710031111"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,38.4291512177909,"Na0210290_fwo_1710031111"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,11.3122433126109,"Na0210290_fwo_1710031111"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,0.08327348238788,"Na0210290_fwo_1710031203"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,0.20160207183582,"Na0210290_fwo_1710031203"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,0.07356626800332,"Na0210290_fwo_1710031203"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,0.0331285062917,"Na0210290_fwo_1710031203"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,85.3172093519976,"Na0210290_fwo_1801020602"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,39.6277452588854,"Na0210290_fwo_1801020602"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,774.163848447972,"Na0210290_fwo_1801020602"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,34.1173386471209,"Na0210290_fwo_1801020602"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,284.389197185992,"Na0210290_fwo_1801020603"
"Na0210290_fwo",11,"C","D","Grow w/ fire","None",0,0,1,46.1490288108641,"Na0210290_fwo_1801020603"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,105.064130987039,"Na0210290_fwo_1801020603"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,48.7499371716262,"Na0210290_fwo_1801020604"
