"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,110473.185644807
"RaMCONms_fcm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,248865.951409006
"RaMCONms_fmm",7,"C","A","Regen / high fire","None",1,0,0,90283.2375977402
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,103639.981145311
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,6985.11364472681
"RaMCONsw_fdm",1,"B","C","Thin / low fire","None",1,0,0,8294.06054762711
"RaMCONsw_fdm",2,"E","D","Thin / low fire","None",1,0,0,4065.52905093137
"RaMCONsw_fdm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,115702.533806975
"RaMCONsw_fdm",6,"B","A","Regen / high fire","None",1,0,0,6302.56810947834
"RaMCONsw_fiw",2,"E","D","Thin / low fire","None",1,0,0,108904.858802749
"RaMCONsw_fiw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,404772.477527449
"RaMCONsw_fiw",6,"B","A","Regen / high fire","None",1,0,0,74201.1257279938
"RaMCONsw_fvw",1,"B","C","Thin / low fire","None",1,0,0,1467.24906890381
"RaMCONsw_fvw",2,"E","D","Thin / low fire","None",1,0,0,4503.08572779272
"RaMCONsw_fvw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,46713.9087542659
"RaMCONsw_fvw",6,"B","A","Regen / high fire","None",1,0,0,3672.72147766709
"RaMEVG_ftd",1,"B","C","Thin / low fire","None",1,0,0,125506.082007106
"RaMEVG_ftd",2,"E","D","Thin / low fire","None",1,0,0,54614.5409001465
"RaMEVG_ftd",5,"E","C","Overstory removal","None",1,0,0,46048.8311174028
"RaMEVG_ftd",9,"E","A","Regen / high fire","None",1,0,0,9072.71797993358
"RaMEVG_fuc",1,"B","C","Thin / low fire","None",1,0,0,5603.02083574207
"RaMEVG_fuc",2,"E","D","Thin / low fire","None",1,0,0,4572.29710223548
"RaMEVG_fuc",5,"E","C","Overstory removal","None",1,0,0,5704.76817680151
"RaMEVG_fuc",10,"A","C","Grow w/ fire","None",0,0,1,22126.0771929573
"RaOAPI_fop",1,"B","C","Thin / low fire","None",1,0,0,7466.76200999048
"RaOAPI_fop",2,"E","D","Thin / low fire","None",1,0,0,26644.9307618665
"RaOAPI_fop",6,"B","A","Regen / high fire","None",1,0,0,8240.17074926296
"RaPICOpu_fld",1,"B","A","Regen / high fire","None",1,0,0,14451.0415003141
"RaPICOpu_fld",6,"E","C","Overstory removal","None",1,0,0,1230.28947195389
"RaPICOpu_fld",7,"B","C","Thin / low fire","None",1,0,0,5890.32552959185
"RaPICOpu_fld",15,"B","D","Regen / high fire","Grow w/o fire",0,1,0,18731.4739959998
"RaPICOpu_flp",1,"B","A","Regen / high fire","None",1,0,0,4590.81986174768
"RaPICOpu_flp",6,"E","C","Overstory removal","None",1,0,0,3554.24234857707
"RaPICOpu_flp",7,"B","C","Thin / low fire","None",1,0,0,6629.83466135879
"RaPICOpu_flp",8,"E","D","Thin / low fire","None",1,0,0,2.27373675443232e-13
"RaPICOpu_flp",15,"B","D","Regen / high fire","Grow w/o fire",0,1,0,2179.28955141422
"RaPICOpu_flw",1,"B","A","Regen / high fire","None",1,0,0,4868.43633238376
"RaPICOpu_flw",6,"E","C","Overstory removal","None",1,0,0,4350.3539597244
"RaPICOpu_flw",7,"B","C","Thin / low fire","None",1,0,0,4205.99828553049
"RaPICOpu_flw",15,"B","D","Regen / high fire","Grow w/o fire",0,1,0,2983.80454079729
"RaPIJEsp_fjp",1,"B","C","Thin / low fire","None",1,0,0,8778.85736275406
"RaPIJEsp_fjp",2,"E","D","Thin / low fire","None",1,0,0,13240.99042757
"RaPIJEsp_fjp",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,8291.3774050527
"RaPIJEsp_fjp",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,6418.4403707773
"RaPIPOm_fdp",1,"B","C","Thin / low fire","None",1,0,0,146375.499227194
"RaPIPOm_fdp",2,"E","D","Thin / low fire","None",1,0,0,214066.138488228
"RaPIPOm_fdp",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,98099.3892741415
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,126167.229803027
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,105880.131096943
"RaPIPOm_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,78057.2450844326
"RaPIPOm_fpd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,10320.4330957156
"RaPIPOm_fpl",1,"B","C","Thin / low fire","None",1,0,0,140796.890377744
"RaPIPOm_fpl",2,"E","D","Thin / low fire","None",1,0,0,134633.619595455
"RaPIPOm_fpl",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,179550.99130729
"RaPIPOxe_fpd",1,"B","C","Thin / low fire","None",1,0,0,3878.40766146457
"RaPIPOxe_fpd",2,"E","D","Thin / low fire","None",1,0,0,39291.3160477671
"RaPIPOxe_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,220420.573391579
"RaPIPOxe_fpd",6,"B","A","Regen / high fire","None",1,0,0,58629.5655235549
"RaPIPOxe_fxp",2,"E","D","Thin / low fire","None",1,0,0,41071.8826118099
"RaPIPOxe_fxp",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,367206.370545888
"RaPIPOxe_fxp",6,"B","A","Regen / high fire","None",1,0,0,1.45519152283669e-11
"RaPIPOxe_fxp",7,"C","A","Regen / high fire","None",1,0,0,26590.94397477
"RaPIPOxe_fxp",11,"C","D","Grow w/ fire","None",0,0,1,9627.5586826778
